community_area,2023,2022,2020,2018,2021,2019,2008,2016,2017,2014,2015,2013,2011,2005,2007,2009,2010,2012,2006,2005-2009,2010-2014,2015-2019,2018-2022,2005-2009 to 2010-2014,2010-2014 to 2015-2019,2015-2019 to 2018-2022,2005-2009 to 2018-2022
DOUGLAS,28.0,35.0,33.0,34.0,31.0,47.0,43.0,44.0,31.0,30.0,34.0,35.0,31.0,71.0,60.0,43.0,37.0,37.0,56.0,54.6,34.0,38.0,36.0,low,medium,low,low
OAKLAND,6.0,8.0,5.0,8.0,14.0,8.0,6.0,13.0,8.0,12.0,9.0,9.0,4.0,7.0,3.0,12.0,3.0,4.0,6.0,6.8,6.4,9.2,8.6,low,low,low,low
FULLER PARK,9.0,15.0,14.0,13.0,11.0,12.0,6.0,23.0,9.0,5.0,6.0,4.0,7.0,12.0,21.0,11.0,13.0,12.0,14.0,12.8,8.2,12.6,13.0,low,medium,low,low
GRAND BOULEVARD,52.0,61.0,38.0,41.0,54.0,54.0,55.0,58.0,45.0,46.0,58.0,40.0,49.0,99.0,83.0,49.0,48.0,48.0,101.0,77.4,46.2,51.2,49.6,medium,medium,low,medium
KENWOOD,26.0,26.0,28.0,30.0,29.0,29.0,30.0,19.0,17.0,11.0,18.0,22.0,18.0,33.0,28.0,28.0,34.0,17.0,45.0,32.8,20.4,22.6,28.4,low,low,medium,low
LINCOLN SQUARE,115.0,127.0,83.0,118.0,107.0,139.0,169.0,127.0,139.0,133.0,120.0,123.0,125.0,194.0,187.0,158.0,146.0,122.0,179.0,177.4,129.8,128.6,114.8,high,low,high,medium
WASHINGTON PARK,25.0,16.0,9.0,32.0,17.0,22.0,25.0,11.0,9.0,19.0,19.0,32.0,24.0,29.0,42.0,23.0,26.0,18.0,45.0,32.8,23.8,18.6,19.2,low,medium,low,low
HYDE PARK,50.0,62.0,48.0,86.0,57.0,84.0,79.0,73.0,83.0,64.0,54.0,105.0,91.0,79.0,72.0,59.0,80.0,82.0,78.0,73.4,84.4,76.0,67.4,low,medium,medium,low
WOODLAWN,32.0,41.0,52.0,55.0,38.0,44.0,61.0,38.0,45.0,25.0,59.0,38.0,35.0,75.0,75.0,56.0,61.0,45.0,84.0,70.2,40.8,48.2,46.0,medium,medium,low,low
ROGERS PARK,72.0,126.0,67.0,120.0,96.0,106.0,166.0,128.0,124.0,149.0,139.0,138.0,164.0,195.0,194.0,181.0,131.0,145.0,185.0,184.2,145.4,123.4,103.0,medium,high,high,high
JEFFERSON PARK,30.0,51.0,31.0,51.0,33.0,42.0,92.0,36.0,52.0,62.0,59.0,68.0,66.0,82.0,98.0,78.0,79.0,49.0,76.0,85.2,64.8,48.0,41.6,low,high,medium,medium
FOREST GLEN,28.0,18.0,35.0,25.0,24.0,33.0,75.0,33.0,31.0,21.0,21.0,21.0,45.0,70.0,51.0,38.0,46.0,35.0,73.0,61.4,33.6,28.6,27.0,medium,medium,low,medium
NORTH PARK,23.0,20.0,25.0,45.0,31.0,47.0,75.0,46.0,45.0,37.0,36.0,43.0,45.0,86.0,93.0,75.0,51.0,49.0,94.0,84.6,45.0,43.8,33.6,medium,low,medium,medium
ALBANY PARK,88.0,105.0,73.0,128.0,121.0,117.0,200.0,138.0,147.0,136.0,130.0,118.0,180.0,261.0,211.0,204.0,172.0,111.0,226.0,220.4,143.4,132.0,108.8,high,high,high,high
PORTAGE PARK,106.0,112.0,75.0,105.0,99.0,106.0,161.0,107.0,118.0,145.0,108.0,138.0,130.0,237.0,193.0,150.0,113.0,127.0,207.0,189.6,130.6,108.8,99.4,high,high,medium,high
IRVING PARK,105.0,97.0,79.0,129.0,110.0,118.0,162.0,163.0,167.0,126.0,150.0,126.0,181.0,228.0,197.0,194.0,174.0,153.0,240.0,204.2,152.0,145.4,106.6,high,medium,high,high
DUNNING,51.0,56.0,47.0,57.0,56.0,83.0,86.0,56.0,84.0,51.0,55.0,42.0,59.0,123.0,104.0,71.0,57.0,62.0,118.0,100.4,54.2,67.0,59.8,high,high,medium,medium
MONTCLARE,19.0,14.0,19.0,20.0,11.0,24.0,26.0,26.0,12.0,15.0,15.0,25.0,21.0,39.0,36.0,31.0,33.0,22.0,57.0,37.8,23.2,19.4,17.6,low,medium,low,low
BELMONT CRAGIN,117.0,153.0,111.0,166.0,112.0,158.0,230.0,164.0,212.0,128.0,159.0,187.0,231.0,340.0,280.0,247.0,193.0,137.0,326.0,284.6,175.2,171.8,140.0,high,low,high,high
WEST RIDGE,110.0,84.0,96.0,132.0,120.0,120.0,206.0,104.0,135.0,102.0,145.0,163.0,190.0,276.0,277.0,242.0,176.0,123.0,265.0,253.2,150.8,127.2,110.4,high,high,high,high
HERMOSA,37.0,37.0,34.0,46.0,44.0,57.0,74.0,41.0,63.0,44.0,54.0,52.0,48.0,106.0,56.0,88.0,73.0,58.0,90.0,82.8,55.0,52.2,43.6,medium,low,medium,medium
AVONDALE,130.0,103.0,46.0,94.0,103.0,109.0,142.0,101.0,84.0,95.0,79.0,99.0,128.0,175.0,162.0,140.0,116.0,110.0,197.0,163.2,109.6,93.4,91.0,high,high,low,high
LOGAN SQUARE,213.0,176.0,136.0,225.0,189.0,203.0,305.0,235.0,240.0,195.0,222.0,281.0,315.0,354.0,367.0,331.0,273.0,222.0,447.0,360.8,257.2,225.0,185.8,high,high,high,high
HUMBOLDT PARK,105.0,158.0,80.0,155.0,109.0,136.0,172.0,116.0,170.0,116.0,147.0,146.0,165.0,237.0,257.0,177.0,154.0,136.0,279.0,224.4,143.4,144.8,127.6,high,low,high,high
WEST TOWN,329.0,350.0,249.0,403.0,323.0,380.0,523.0,425.0,428.0,418.0,368.0,493.0,428.0,559.0,582.0,438.0,431.0,452.0,591.0,538.6,444.4,400.8,341.0,high,high,high,high
AUSTIN,175.0,192.0,133.0,205.0,214.0,199.0,289.0,165.0,244.0,173.0,211.0,208.0,253.0,399.0,373.0,287.0,239.0,181.0,389.0,347.4,210.8,204.8,188.6,high,medium,high,high
WEST GARFIELD PARK,46.0,45.0,32.0,53.0,51.0,40.0,71.0,42.0,44.0,37.0,49.0,44.0,58.0,99.0,74.0,66.0,63.0,44.0,80.0,78.0,49.2,45.6,44.2,medium,low,low,medium
EAST GARFIELD PARK,42.0,54.0,42.0,44.0,40.0,61.0,55.0,47.0,35.0,33.0,47.0,38.0,53.0,87.0,57.0,43.0,41.0,36.0,93.0,67.0,40.2,46.8,48.2,medium,medium,low,low
NEAR WEST SIDE,447.0,516.0,366.0,614.0,449.0,571.0,571.0,638.0,615.0,560.0,480.0,531.0,525.0,425.0,595.0,470.0,507.0,468.0,499.0,512.0,518.2,583.6,503.2,low,high,high,low
NORTH LAWNDALE,54.0,53.0,34.0,63.0,66.0,61.0,99.0,54.0,75.0,74.0,95.0,77.0,94.0,161.0,122.0,97.0,93.0,72.0,134.0,122.6,82.0,69.6,55.4,medium,high,high,high
UPTOWN,127.0,141.0,89.0,149.0,107.0,132.0,160.0,130.0,135.0,141.0,127.0,172.0,155.0,271.0,181.0,156.0,124.0,152.0,207.0,195.0,148.8,134.6,123.6,high,high,high,high
SOUTH LAWNDALE,125.0,120.0,68.0,156.0,106.0,111.0,339.0,161.0,178.0,209.0,180.0,289.0,308.0,287.0,408.0,287.0,309.0,268.0,406.0,345.4,276.6,157.2,112.2,high,high,high,high
LOWER WEST SIDE,132.0,146.0,120.0,256.0,154.0,247.0,245.0,194.0,240.0,198.0,210.0,223.0,229.0,270.0,255.0,246.0,213.0,188.0,248.0,252.8,210.2,229.4,184.6,high,high,high,high
NEAR SOUTH SIDE,82.0,86.0,62.0,101.0,81.0,110.0,100.0,82.0,113.0,76.0,71.0,95.0,78.0,107.0,124.0,75.0,79.0,100.0,93.0,99.8,85.6,95.4,88.0,low,medium,medium,low
ARMOUR SQUARE,54.0,52.0,39.0,60.0,53.0,62.0,72.0,62.0,67.0,62.0,52.0,59.0,69.0,73.0,82.0,82.0,73.0,68.0,82.0,78.2,66.2,60.6,53.2,low,medium,medium,low
NORWOOD PARK,46.0,44.0,33.0,52.0,36.0,54.0,81.0,61.0,57.0,37.0,41.0,34.0,53.0,79.0,68.0,56.0,42.0,35.0,103.0,77.4,40.2,53.0,43.8,medium,high,medium,medium
NEAR NORTH SIDE,681.0,569.0,464.0,676.0,543.0,620.0,1249.0,805.0,655.0,616.0,620.0,720.0,576.0,930.0,895.0,620.0,621.0,663.0,828.0,904.4,639.2,675.2,574.4,high,high,high,high
LOOP,448.0,585.0,406.0,702.0,443.0,714.0,1968.0,728.0,634.0,697.0,631.0,653.0,653.0,961.0,1116.0,850.0,767.0,652.0,868.0,1152.6,684.4,681.8,570.0,high,low,high,high
SOUTH SHORE,68.0,64.0,72.0,77.0,77.0,95.0,124.0,74.0,101.0,66.0,85.0,91.0,101.0,199.0,150.0,115.0,106.0,112.0,189.0,155.4,95.2,86.4,77.0,high,medium,medium,high
CHATHAM,57.0,75.0,44.0,85.0,70.0,73.0,116.0,78.0,74.0,81.0,71.0,80.0,96.0,164.0,119.0,98.0,110.0,63.0,145.0,128.4,86.0,76.2,69.4,medium,medium,medium,medium
AVALON PARK,16.0,20.0,15.0,26.0,28.0,27.0,30.0,24.0,21.0,17.0,14.0,24.0,26.0,48.0,32.0,32.0,34.0,27.0,32.0,34.8,25.6,22.4,23.2,low,low,low,low
SOUTH CHICAGO,40.0,32.0,30.0,61.0,35.0,47.0,77.0,50.0,33.0,47.0,40.0,49.0,92.0,104.0,91.0,63.0,46.0,52.0,98.0,86.6,57.2,46.2,41.0,medium,medium,medium,medium
BURNSIDE,4.0,4.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,2.0,1.0,4.0,3.0,16.0,12.0,5.0,4.0,2.0,7.0,8.8,3.0,2.6,2.0,low,low,low,low
MCKINLEY PARK,25.0,40.0,25.0,26.0,29.0,38.0,27.0,34.0,42.0,43.0,30.0,29.0,41.0,44.0,49.0,47.0,34.0,30.0,38.0,41.0,35.4,34.0,31.6,low,low,low,low
LAKE VIEW,358.0,316.0,222.0,406.0,306.0,306.0,504.0,346.0,438.0,404.0,329.0,438.0,480.0,423.0,507.0,485.0,438.0,431.0,416.0,467.0,438.2,365.0,311.2,medium,high,high,high
CALUMET HEIGHTS,15.0,18.0,21.0,21.0,23.0,23.0,28.0,19.0,16.0,15.0,23.0,26.0,21.0,34.0,41.0,28.0,23.0,12.0,63.0,38.8,19.4,20.4,21.2,low,low,low,low
ROSELAND,48.0,53.0,46.0,67.0,63.0,70.0,103.0,47.0,82.0,69.0,56.0,77.0,57.0,145.0,105.0,85.0,109.0,83.0,117.0,111.0,79.0,64.4,59.8,medium,high,medium,medium
NORTH CENTER,93.0,104.0,73.0,152.0,103.0,125.0,214.0,123.0,156.0,162.0,152.0,156.0,202.0,142.0,225.0,208.0,182.0,177.0,177.0,193.2,175.8,141.6,111.4,low,high,high,high
PULLMAN,11.0,11.0,14.0,13.0,7.0,11.0,16.0,9.0,18.0,18.0,9.0,12.0,23.0,34.0,19.0,24.0,20.0,12.0,24.0,23.4,17.0,12.0,11.2,low,medium,low,low
SOUTH DEERING,29.0,22.0,9.0,27.0,21.0,19.0,28.0,21.0,30.0,38.0,20.0,27.0,41.0,46.0,59.0,42.0,33.0,32.0,71.0,49.2,34.2,23.4,19.6,low,medium,low,medium
EAST SIDE,20.0,21.0,10.0,47.0,21.0,24.0,36.0,21.0,23.0,24.0,19.0,33.0,31.0,41.0,32.0,29.0,32.0,30.0,51.0,37.8,30.0,26.8,24.6,low,low,low,low
WEST PULLMAN,32.0,36.0,24.0,28.0,25.0,31.0,68.0,27.0,31.0,28.0,35.0,25.0,38.0,89.0,64.0,46.0,54.0,32.0,77.0,68.8,35.4,30.4,28.8,medium,medium,low,medium
RIVERDALE,2.0,2.0,1.0,2.0,2.0,6.0,8.0,4.0,8.0,5.0,5.0,0.0,5.0,3.0,3.0,3.0,1.0,6.0,9.0,5.2,3.4,5.0,2.6,low,low,low,low
HEGEWISCH,6.0,7.0,7.0,13.0,10.0,9.0,14.0,10.0,20.0,10.0,13.0,6.0,20.0,21.0,30.0,19.0,9.0,21.0,28.0,22.4,13.2,13.0,9.2,low,low,medium,low
GARFIELD RIDGE,56.0,56.0,43.0,83.0,46.0,64.0,69.0,61.0,127.0,49.0,75.0,63.0,63.0,84.0,106.0,84.0,64.0,53.0,82.0,85.0,58.4,82.0,58.4,medium,high,high,low
ARCHER HEIGHTS,35.0,25.0,16.0,34.0,32.0,34.0,70.0,36.0,35.0,28.0,32.0,37.0,38.0,45.0,77.0,56.0,41.0,37.0,69.0,63.4,36.2,34.2,28.2,medium,low,medium,medium
BRIGHTON PARK,64.0,70.0,36.0,89.0,73.0,74.0,103.0,101.0,97.0,67.0,75.0,80.0,112.0,136.0,173.0,149.0,112.0,80.0,162.0,144.6,90.2,87.2,68.4,high,low,high,high
BRIDGEPORT,70.0,65.0,42.0,69.0,74.0,62.0,106.0,76.0,85.0,67.0,74.0,79.0,55.0,139.0,133.0,116.0,66.0,67.0,142.0,127.2,66.8,73.2,62.4,high,medium,medium,medium
NEW CITY,252.0,217.0,513.0,142.0,291.0,93.0,295.0,104.0,131.0,135.0,152.0,143.0,171.0,352.0,304.0,239.0,261.0,170.0,485.0,335.0,176.0,124.4,251.2,high,high,high,high
WEST ELSDON,26.0,25.0,16.0,25.0,30.0,41.0,36.0,27.0,30.0,38.0,36.0,29.0,42.0,49.0,62.0,44.0,39.0,45.0,68.0,51.8,38.6,31.8,27.4,low,medium,medium,low
GAGE PARK,50.0,45.0,32.0,70.0,40.0,75.0,82.0,61.0,67.0,46.0,62.0,72.0,82.0,111.0,107.0,103.0,87.0,62.0,127.0,106.0,69.8,67.0,52.4,medium,low,high,medium
CLEARING,27.0,22.0,22.0,39.0,30.0,17.0,48.0,33.0,31.0,27.0,31.0,33.0,33.0,48.0,42.0,33.0,41.0,34.0,38.0,41.8,33.6,30.2,26.0,low,low,medium,low
WEST LAWN,53.0,46.0,38.0,70.0,48.0,66.0,112.0,62.0,78.0,67.0,65.0,70.0,85.0,135.0,135.0,113.0,89.0,80.0,138.0,126.6,78.2,68.2,53.6,high,medium,high,high
CHICAGO LAWN,66.0,83.0,54.0,88.0,74.0,93.0,127.0,91.0,115.0,92.0,95.0,122.0,118.0,231.0,143.0,132.0,129.0,114.0,211.0,168.8,115.0,96.4,78.4,high,high,high,high
WEST ENGLEWOOD,46.0,33.0,29.0,46.0,45.0,44.0,89.0,40.0,43.0,40.0,48.0,65.0,87.0,128.0,90.0,80.0,61.0,67.0,137.0,104.8,64.0,44.2,39.4,medium,high,medium,high
ENGLEWOOD,31.0,34.0,25.0,44.0,46.0,42.0,86.0,45.0,32.0,37.0,47.0,37.0,58.0,102.0,84.0,67.0,72.0,52.0,116.0,91.0,51.2,42.0,38.2,medium,medium,low,medium
GREATER GRAND CROSSING,70.0,69.0,67.0,93.0,67.0,87.0,117.0,68.0,63.0,71.0,53.0,59.0,91.0,154.0,155.0,114.0,110.0,62.0,163.0,140.6,78.6,72.8,76.6,high,medium,low,medium
LINCOLN PARK,165.0,193.0,173.0,223.0,234.0,245.0,367.0,221.0,250.0,274.0,234.0,283.0,345.0,337.0,354.0,313.0,293.0,267.0,271.0,328.4,292.4,234.6,213.6,medium,high,high,high
ASHBURN,51.0,61.0,49.0,73.0,70.0,65.0,89.0,65.0,61.0,41.0,52.0,53.0,71.0,126.0,119.0,80.0,67.0,50.0,123.0,107.4,56.4,63.2,63.6,high,medium,low,medium
AUBURN GRESHAM,54.0,74.0,50.0,86.0,53.0,83.0,106.0,66.0,73.0,84.0,63.0,64.0,95.0,162.0,125.0,116.0,112.0,93.0,162.0,134.2,89.6,74.2,69.2,high,high,medium,medium
BEVERLY,52.0,43.0,44.0,51.0,60.0,52.0,58.0,40.0,53.0,44.0,41.0,40.0,50.0,66.0,66.0,53.0,40.0,55.0,85.0,65.6,45.8,47.4,50.0,low,low,low,low
WASHINGTON HEIGHTS,41.0,42.0,30.0,38.0,38.0,33.0,42.0,47.0,50.0,39.0,37.0,32.0,41.0,91.0,62.0,52.0,39.0,49.0,70.0,63.4,40.0,41.0,36.2,medium,low,medium,medium
MOUNT GREENWOOD,18.0,29.0,20.0,19.0,15.0,14.0,23.0,18.0,29.0,17.0,14.0,10.0,12.0,38.0,43.0,18.0,21.0,18.0,28.0,30.0,15.6,18.8,19.4,low,low,low,low
MORGAN PARK,38.0,31.0,39.0,36.0,25.0,33.0,73.0,26.0,46.0,32.0,35.0,34.0,30.0,80.0,79.0,53.0,32.0,34.0,76.0,72.2,32.4,35.2,32.8,medium,low,low,medium
OHARE,41.0,63.0,30.0,53.0,48.0,32.0,92.0,61.0,45.0,35.0,28.0,45.0,37.0,64.0,134.0,59.0,37.0,56.0,74.0,84.6,42.0,43.8,45.2,medium,low,low,medium
EDGEWATER,112.0,155.0,79.0,131.0,113.0,125.0,166.0,139.0,127.0,134.0,111.0,152.0,162.0,198.0,197.0,157.0,140.0,151.0,200.0,183.6,147.8,126.6,120.6,medium,high,medium,medium
EDISON PARK,15.0,20.0,22.0,26.0,28.0,28.0,56.0,37.0,28.0,32.0,28.0,37.0,27.0,53.0,54.0,31.0,38.0,21.0,27.0,44.2,31.0,29.4,24.8,low,low,medium,low
