NAME,B01001_001E,state,county,tract
"Census Tract 1608, Cook County, Illinois",5477,17,031,160800
"Census Tract 1609, Cook County, Illinois",2848,17,031,160900
"Census Tract 1610, Cook County, Illinois",1800,17,031,161000
"Census Tract 1611, Cook County, Illinois",2037,17,031,161100
"Census Tract 1612, Cook County, Illinois",2821,17,031,161200
"Census Tract 1613, Cook County, Illinois",4497,17,031,161300
"Census Tract 1701, Cook County, Illinois",2392,17,031,170100
"Census Tract 1702, Cook County, Illinois",3531,17,031,170200
"Census Tract 1703, Cook County, Illinois",5736,17,031,170300
"Census Tract 1704, Cook County, Illinois",4071,17,031,170400
"Census Tract 1705, Cook County, Illinois",5156,17,031,170500
"Census Tract 1706, Cook County, Illinois",2680,17,031,170600
"Census Tract 1707, Cook County, Illinois",3654,17,031,170700
"Census Tract 1708, Cook County, Illinois",4021,17,031,170800
"Census Tract 1709, Cook County, Illinois",1759,17,031,170900
"Census Tract 1710, Cook County, Illinois",7163,17,031,171000
"Census Tract 1711, Cook County, Illinois",4501,17,031,171100
"Census Tract 1801, Cook County, Illinois",6745,17,031,180100
"Census Tract 1802, Cook County, Illinois",6589,17,031,180200
"Census Tract 1803, Cook County, Illinois",1222,17,031,180300
"Census Tract 1901, Cook County, Illinois",2433,17,031,190100
"Census Tract 1902, Cook County, Illinois",6320,17,031,190200
"Census Tract 1903, Cook County, Illinois",5441,17,031,190300
"Census Tract 1904, Cook County, Illinois",10282,17,031,190400
"Census Tract 1905, Cook County, Illinois",2691,17,031,190500
"Census Tract 1906, Cook County, Illinois",10031,17,031,190600
"Census Tract 1907, Cook County, Illinois",7817,17,031,190700
"Census Tract 1908, Cook County, Illinois",7297,17,031,190800
"Census Tract 1909, Cook County, Illinois",2007,17,031,190900
"Census Tract 1910, Cook County, Illinois",2263,17,031,191000
"Census Tract 1911, Cook County, Illinois",8249,17,031,191100
"Census Tract 1912, Cook County, Illinois",3804,17,031,191200
"Census Tract 1913, Cook County, Illinois",11538,17,031,191300
"Census Tract 1914, Cook County, Illinois",1275,17,031,191400
"Census Tract 2001, Cook County, Illinois",4492,17,031,200100
"Census Tract 2002, Cook County, Illinois",5552,17,031,200200
"Census Tract 2003, Cook County, Illinois",2241,17,031,200300
"Census Tract 2004, Cook County, Illinois",8727,17,031,200400
"Census Tract 2005, Cook County, Illinois",4225,17,031,200500
"Census Tract 2006, Cook County, Illinois",823,17,031,200600
"Census Tract 2101, Cook County, Illinois",4660,17,031,210100
"Census Tract 2102, Cook County, Illinois",1379,17,031,210200
"Census Tract 2103, Cook County, Illinois",5955,17,031,210300
"Census Tract 2104, Cook County, Illinois",2415,17,031,210400
"Census Tract 2105, Cook County, Illinois",9892,17,031,210500
"Census Tract 2106, Cook County, Illinois",8421,17,031,210600
"Census Tract 2107, Cook County, Illinois",4939,17,031,210700
"Census Tract 2108, Cook County, Illinois",1450,17,031,210800
"Census Tract 2109, Cook County, Illinois",3076,17,031,210900
"Census Tract 2201, Cook County, Illinois",1164,17,031,220100
"Census Tract 2202, Cook County, Illinois",2138,17,031,220200
"Census Tract 2203, Cook County, Illinois",2648,17,031,220300
"Census Tract 2204, Cook County, Illinois",2741,17,031,220400
"Census Tract 2604, Cook County, Illinois",1231,17,031,260400
"Census Tract 2605, Cook County, Illinois",1641,17,031,260500
"Census Tract 2606, Cook County, Illinois",2769,17,031,260600
"Census Tract 2607, Cook County, Illinois",2234,17,031,260700
"Census Tract 2608, Cook County, Illinois",2901,17,031,260800
"Census Tract 2609, Cook County, Illinois",1687,17,031,260900
"Census Tract 2610, Cook County, Illinois",2199,17,031,261000
"Census Tract 2701, Cook County, Illinois",119,17,031,270100
"Census Tract 2702, Cook County, Illinois",1738,17,031,270200
"Census Tract 2703, Cook County, Illinois",2445,17,031,270300
"Census Tract 2704, Cook County, Illinois",1443,17,031,270400
"Census Tract 2705, Cook County, Illinois",2085,17,031,270500
"Census Tract 2706, Cook County, Illinois",932,17,031,270600
"Census Tract 2707, Cook County, Illinois",482,17,031,270700
"Census Tract 2708, Cook County, Illinois",634,17,031,270800
"Census Tract 2709, Cook County, Illinois",154,17,031,270900
"Census Tract 2710, Cook County, Illinois",955,17,031,271000
"Census Tract 2711, Cook County, Illinois",1350,17,031,271100
"Census Tract 2712, Cook County, Illinois",1596,17,031,271200
"Census Tract 2713, Cook County, Illinois",1309,17,031,271300
"Census Tract 2714, Cook County, Illinois",1275,17,031,271400
"Census Tract 2715, Cook County, Illinois",1201,17,031,271500
"Census Tract 2716, Cook County, Illinois",801,17,031,271600
"Census Tract 2717, Cook County, Illinois",1133,17,031,271700
"Census Tract 2718, Cook County, Illinois",569,17,031,271800
"Census Tract 2719, Cook County, Illinois",694,17,031,271900
"Census Tract 2801, Cook County, Illinois",3075,17,031,280100
"Census Tract 2802, Cook County, Illinois",2728,17,031,280200
"Census Tract 2803, Cook County, Illinois",819,17,031,280300
"Census Tract 2804, Cook County, Illinois",826,17,031,280400
"Census Tract 2805, Cook County, Illinois",953,17,031,280500
"Census Tract 2806, Cook County, Illinois",241,17,031,280600
"Census Tract 2807, Cook County, Illinois",281,17,031,280700
"Census Tract 2808, Cook County, Illinois",631,17,031,280800
"Census Tract 2809, Cook County, Illinois",1124,17,031,280900
"Census Tract 2810, Cook County, Illinois",313,17,031,281000
"Census Tract 2811, Cook County, Illinois",333,17,031,281100
"Census Tract 2812, Cook County, Illinois",744,17,031,281200
"Census Tract 2813, Cook County, Illinois",1793,17,031,281300
"Census Tract 2814, Cook County, Illinois",300,17,031,281400
"Census Tract 2815, Cook County, Illinois",281,17,031,281500
"Census Tract 2816, Cook County, Illinois",1042,17,031,281600
"Census Tract 2817, Cook County, Illinois",3309,17,031,281700
"Census Tract 2818, Cook County, Illinois",2888,17,031,281800
"Census Tract 2819, Cook County, Illinois",3873,17,031,281900
"Census Tract 2820, Cook County, Illinois",1126,17,031,282000
"Census Tract 2821, Cook County, Illinois",1869,17,031,282100
"Census Tract 2822, Cook County, Illinois",1688,17,031,282200
"Census Tract 2823, Cook County, Illinois",855,17,031,282300
"Census Tract 2824, Cook County, Illinois",1697,17,031,282400
"Census Tract 2825, Cook County, Illinois",556,17,031,282500
"Census Tract 2826, Cook County, Illinois",425,17,031,282600
"Census Tract 2827, Cook County, Illinois",2460,17,031,282700
"Census Tract 2205, Cook County, Illinois",3119,17,031,220500
"Census Tract 2206, Cook County, Illinois",7597,17,031,220600
"Census Tract 2207, Cook County, Illinois",8632,17,031,220700
"Census Tract 2208, Cook County, Illinois",20,17,031,220800
"Census Tract 2209, Cook County, Illinois",7248,17,031,220900
"Census Tract 2210, Cook County, Illinois",2726,17,031,221000
"Census Tract 2211, Cook County, Illinois",6034,17,031,221100
"Census Tract 2212, Cook County, Illinois",2472,17,031,221200
"Census Tract 2213, Cook County, Illinois",3035,17,031,221300
"Census Tract 2214, Cook County, Illinois",3092,17,031,221400
"Census Tract 2215, Cook County, Illinois",3508,17,031,221500
"Census Tract 2216, Cook County, Illinois",2726,17,031,221600
"Census Tract 2217, Cook County, Illinois",2461,17,031,221700
"Census Tract 2218, Cook County, Illinois",1949,17,031,221800
"Census Tract 2219, Cook County, Illinois",656,17,031,221900
"Census Tract 2220, Cook County, Illinois",1642,17,031,222000
"Census Tract 2221, Cook County, Illinois",858,17,031,222100
"Census Tract 2222, Cook County, Illinois",2075,17,031,222200
"Census Tract 2223, Cook County, Illinois",1456,17,031,222300
"Census Tract 2224, Cook County, Illinois",2250,17,031,222400
"Census Tract 2225, Cook County, Illinois",1549,17,031,222500
"Census Tract 2226, Cook County, Illinois",1665,17,031,222600
"Census Tract 2227, Cook County, Illinois",3116,17,031,222700
"Census Tract 2228, Cook County, Illinois",936,17,031,222800
"Census Tract 2229, Cook County, Illinois",1627,17,031,222900
"Census Tract 2301, Cook County, Illinois",1943,17,031,230100
"Census Tract 2302, Cook County, Illinois",1615,17,031,230200
"Census Tract 2303, Cook County, Illinois",1241,17,031,230300
"Census Tract 2304, Cook County, Illinois",2585,17,031,230400
"Census Tract 2305, Cook County, Illinois",3019,17,031,230500
"Census Tract 2306, Cook County, Illinois",6778,17,031,230600
"Census Tract 2307, Cook County, Illinois",6403,17,031,230700
"Census Tract 2308, Cook County, Illinois",1751,17,031,230800
"Census Tract 2309, Cook County, Illinois",5920,17,031,230900
"Census Tract 2310, Cook County, Illinois",3213,17,031,231000
"Census Tract 2311, Cook County, Illinois",1230,17,031,231100
"Census Tract 2312, Cook County, Illinois",6820,17,031,231200
"Census Tract 2313, Cook County, Illinois",6150,17,031,231300
"Census Tract 2314, Cook County, Illinois",0,17,031,231400
"Census Tract 2315, Cook County, Illinois",5624,17,031,231500
"Census Tract 2316, Cook County, Illinois",1565,17,031,231600
"Census Tract 2317, Cook County, Illinois",1292,17,031,231700
"Census Tract 2318, Cook County, Illinois",614,17,031,231800
"Census Tract 2401, Cook County, Illinois",141,17,031,240100
"Census Tract 2402, Cook County, Illinois",1661,17,031,240200
"Census Tract 2403, Cook County, Illinois",1221,17,031,240300
"Census Tract 2404, Cook County, Illinois",878,17,031,240400
"Census Tract 2405, Cook County, Illinois",2162,17,031,240500
"Census Tract 2406, Cook County, Illinois",1398,17,031,240600
"Census Tract 2407, Cook County, Illinois",1737,17,031,240700
"Census Tract 2408, Cook County, Illinois",1963,17,031,240800
"Census Tract 2409, Cook County, Illinois",1332,17,031,240900
"Census Tract 2410, Cook County, Illinois",2607,17,031,241000
"Census Tract 2411, Cook County, Illinois",4352,17,031,241100
"Census Tract 2412, Cook County, Illinois",1847,17,031,241200
"Census Tract 2413, Cook County, Illinois",1817,17,031,241300
"Census Tract 2414, Cook County, Illinois",4858,17,031,241400
"Census Tract 2415, Cook County, Illinois",3189,17,031,241500
"Census Tract 2416, Cook County, Illinois",4054,17,031,241600
"Census Tract 2417, Cook County, Illinois",142,17,031,241700
"Census Tract 2418, Cook County, Illinois",930,17,031,241800
"Census Tract 2419, Cook County, Illinois",1067,17,031,241900
"Census Tract 2420, Cook County, Illinois",4414,17,031,242000
"Census Tract 2421, Cook County, Illinois",3409,17,031,242100
"Census Tract 2422, Cook County, Illinois",4097,17,031,242200
"Census Tract 2423, Cook County, Illinois",3718,17,031,242300
"Census Tract 2424, Cook County, Illinois",2857,17,031,242400
"Census Tract 2425, Cook County, Illinois",4468,17,031,242500
"Census Tract 2426, Cook County, Illinois",5031,17,031,242600
"Census Tract 2427, Cook County, Illinois",2157,17,031,242700
"Census Tract 2428, Cook County, Illinois",1621,17,031,242800
"Census Tract 2429, Cook County, Illinois",1907,17,031,242900
"Census Tract 2430, Cook County, Illinois",2437,17,031,243000
"Census Tract 2431, Cook County, Illinois",1956,17,031,243100
"Census Tract 2432, Cook County, Illinois",1896,17,031,243200
"Census Tract 2433, Cook County, Illinois",2427,17,031,243300
"Census Tract 2434, Cook County, Illinois",2734,17,031,243400
"Census Tract 2435, Cook County, Illinois",3080,17,031,243500
"Census Tract 2436, Cook County, Illinois",789,17,031,243600
"Census Tract 2501, Cook County, Illinois",177,17,031,250100
"Census Tract 2502, Cook County, Illinois",3105,17,031,250200
"Census Tract 2503, Cook County, Illinois",4146,17,031,250300
"Census Tract 2504, Cook County, Illinois",7749,17,031,250400
"Census Tract 2505, Cook County, Illinois",7960,17,031,250500
"Census Tract 2506, Cook County, Illinois",5161,17,031,250600
"Census Tract 2507, Cook County, Illinois",6037,17,031,250700
"Census Tract 2508, Cook County, Illinois",2488,17,031,250800
"Census Tract 2509, Cook County, Illinois",926,17,031,250900
"Census Tract 2510, Cook County, Illinois",1138,17,031,251000
"Census Tract 2511, Cook County, Illinois",4498,17,031,251100
"Census Tract 2512, Cook County, Illinois",4280,17,031,251200
"Census Tract 2513, Cook County, Illinois",5914,17,031,251300
"Census Tract 2514, Cook County, Illinois",4189,17,031,251400
"Census Tract 2515, Cook County, Illinois",4477,17,031,251500
"Census Tract 2516, Cook County, Illinois",3273,17,031,251600
"Census Tract 2517, Cook County, Illinois",1259,17,031,251700
"Census Tract 2518, Cook County, Illinois",5635,17,031,251800
"Census Tract 2519, Cook County, Illinois",5691,17,031,251900
"Census Tract 2520, Cook County, Illinois",5269,17,031,252000
"Census Tract 2521, Cook County, Illinois",9243,17,031,252100
"Census Tract 2522, Cook County, Illinois",7372,17,031,252200
"Census Tract 2523, Cook County, Illinois",671,17,031,252300
"Census Tract 2524, Cook County, Illinois",2646,17,031,252400
"Census Tract 2601, Cook County, Illinois",1432,17,031,260100
"Census Tract 2602, Cook County, Illinois",1141,17,031,260200
"Census Tract 2603, Cook County, Illinois",2029,17,031,260300
"Census Tract 0, Cook County, Illinois",0,17,031,000000
"Census Tract 101, Cook County, Illinois",4835,17,031,010100
"Census Tract 102, Cook County, Illinois",8830,17,031,010200
"Census Tract 103, Cook County, Illinois",6571,17,031,010300
"Census Tract 104, Cook County, Illinois",4997,17,031,010400
"Census Tract 105, Cook County, Illinois",9049,17,031,010500
"Census Tract 106, Cook County, Illinois",7075,17,031,010600
"Census Tract 107, Cook County, Illinois",9570,17,031,010700
"Census Tract 108, Cook County, Illinois",4074,17,031,010800
"Census Tract 109, Cook County, Illinois",1124,17,031,010900
"Census Tract 201, Cook County, Illinois",3736,17,031,020100
"Census Tract 202, Cook County, Illinois",6850,17,031,020200
"Census Tract 203, Cook County, Illinois",9301,17,031,020300
"Census Tract 204, Cook County, Illinois",4214,17,031,020400
"Census Tract 205, Cook County, Illinois",5409,17,031,020500
"Census Tract 206, Cook County, Illinois",10281,17,031,020600
"Census Tract 207, Cook County, Illinois",8808,17,031,020700
"Census Tract 208, Cook County, Illinois",13368,17,031,020800
"Census Tract 209, Cook County, Illinois",9948,17,031,020900
"Census Tract 301, Cook County, Illinois",13214,17,031,030100
"Census Tract 302, Cook County, Illinois",5798,17,031,030200
"Census Tract 303, Cook County, Illinois",2834,17,031,030300
"Census Tract 304, Cook County, Illinois",2687,17,031,030400
"Census Tract 305, Cook County, Illinois",6604,17,031,030500
"Census Tract 306, Cook County, Illinois",9033,17,031,030600
"Census Tract 307, Cook County, Illinois",9841,17,031,030700
"Census Tract 308, Cook County, Illinois",4481,17,031,030800
"Census Tract 309, Cook County, Illinois",3354,17,031,030900
"Census Tract 310, Cook County, Illinois",4847,17,031,031000
"Census Tract 311, Cook County, Illinois",4153,17,031,031100
"Census Tract 312, Cook County, Illinois",6572,17,031,031200
"Census Tract 313, Cook County, Illinois",6940,17,031,031300
"Census Tract 314, Cook County, Illinois",5542,17,031,031400
"Census Tract 315, Cook County, Illinois",9926,17,031,031500
"Census Tract 316, Cook County, Illinois",2394,17,031,031600
"Census Tract 317, Cook County, Illinois",7211,17,031,031700
"Census Tract 318, Cook County, Illinois",2016,17,031,031800
"Census Tract 319, Cook County, Illinois",2620,17,031,031900
"Census Tract 320, Cook County, Illinois",733,17,031,032000
"Census Tract 321, Cook County, Illinois",7116,17,031,032100
"Census Tract 401, Cook County, Illinois",4569,17,031,040100
"Census Tract 402, Cook County, Illinois",13076,17,031,040200
"Census Tract 403, Cook County, Illinois",3048,17,031,040300
"Census Tract 404, Cook County, Illinois",8238,17,031,040400
"Census Tract 405, Cook County, Illinois",1050,17,031,040500
"Census Tract 406, Cook County, Illinois",2694,17,031,040600
"Census Tract 407, Cook County, Illinois",3379,17,031,040700
"Census Tract 408, Cook County, Illinois",1664,17,031,040800
"Census Tract 409, Cook County, Illinois",1928,17,031,040900
"Census Tract 410, Cook County, Illinois",1325,17,031,041000
"Census Tract 501, Cook County, Illinois",2396,17,031,050100
"Census Tract 502, Cook County, Illinois",4968,17,031,050200
"Census Tract 503, Cook County, Illinois",2571,17,031,050300
"Census Tract 504, Cook County, Illinois",978,17,031,050400
"Census Tract 505, Cook County, Illinois",5473,17,031,050500
"Census Tract 506, Cook County, Illinois",2090,17,031,050600
"Census Tract 507, Cook County, Illinois",2033,17,031,050700
"Census Tract 508, Cook County, Illinois",1362,17,031,050800
"Census Tract 509, Cook County, Illinois",1421,17,031,050900
"Census Tract 510, Cook County, Illinois",1350,17,031,051000
"Census Tract 511, Cook County, Illinois",1594,17,031,051100
"Census Tract 512, Cook County, Illinois",2077,17,031,051200
"Census Tract 513, Cook County, Illinois",2815,17,031,051300
"Census Tract 514, Cook County, Illinois",2267,17,031,051400
"Census Tract 515, Cook County, Illinois",1228,17,031,051500
"Census Tract 601, Cook County, Illinois",3062,17,031,060100
"Census Tract 602, Cook County, Illinois",2069,17,031,060200
"Census Tract 603, Cook County, Illinois",3257,17,031,060300
"Census Tract 604, Cook County, Illinois",3803,17,031,060400
"Census Tract 605, Cook County, Illinois",1252,17,031,060500
"Census Tract 606, Cook County, Illinois",1200,17,031,060600
"Census Tract 607, Cook County, Illinois",2325,17,031,060700
"Census Tract 608, Cook County, Illinois",5106,17,031,060800
"Census Tract 609, Cook County, Illinois",6584,17,031,060900
"Census Tract 610, Cook County, Illinois",1667,17,031,061000
"Census Tract 611, Cook County, Illinois",1356,17,031,061100
"Census Tract 612, Cook County, Illinois",2024,17,031,061200
"Census Tract 613, Cook County, Illinois",1493,17,031,061300
"Census Tract 614, Cook County, Illinois",1625,17,031,061400
"Census Tract 615, Cook County, Illinois",2032,17,031,061500
"Census Tract 616, Cook County, Illinois",717,17,031,061600
"Census Tract 617, Cook County, Illinois",1380,17,031,061700
"Census Tract 618, Cook County, Illinois",855,17,031,061800
"Census Tract 619, Cook County, Illinois",7732,17,031,061900
"Census Tract 620, Cook County, Illinois",2566,17,031,062000
"Census Tract 621, Cook County, Illinois",3332,17,031,062100
"Census Tract 622, Cook County, Illinois",2987,17,031,062200
"Census Tract 623, Cook County, Illinois",1749,17,031,062300
"Census Tract 624, Cook County, Illinois",1769,17,031,062400
"Census Tract 625, Cook County, Illinois",1728,17,031,062500
"Census Tract 626, Cook County, Illinois",2131,17,031,062600
"Census Tract 627, Cook County, Illinois",2705,17,031,062700
"Census Tract 628, Cook County, Illinois",3514,17,031,062800
"Census Tract 629, Cook County, Illinois",4114,17,031,062900
"Census Tract 630, Cook County, Illinois",3963,17,031,063000
"Census Tract 631, Cook County, Illinois",2330,17,031,063100
"Census Tract 632, Cook County, Illinois",6587,17,031,063200
"Census Tract 633, Cook County, Illinois",8481,17,031,063300
"Census Tract 634, Cook County, Illinois",2049,17,031,063400
"Census Tract 701, Cook County, Illinois",8305,17,031,070100
"Census Tract 702, Cook County, Illinois",3989,17,031,070200
"Census Tract 703, Cook County, Illinois",3458,17,031,070300
"Census Tract 704, Cook County, Illinois",3435,17,031,070400
"Census Tract 705, Cook County, Illinois",3382,17,031,070500
"Census Tract 706, Cook County, Illinois",3053,17,031,070600
"Census Tract 707, Cook County, Illinois",2677,17,031,070700
"Census Tract 708, Cook County, Illinois",1448,17,031,070800
"Census Tract 709, Cook County, Illinois",2278,17,031,070900
"Census Tract 710, Cook County, Illinois",6318,17,031,071000
"Census Tract 711, Cook County, Illinois",3024,17,031,071100
"Census Tract 712, Cook County, Illinois",2130,17,031,071200
"Census Tract 713, Cook County, Illinois",3964,17,031,071300
"Census Tract 714, Cook County, Illinois",5128,17,031,071400
"Census Tract 715, Cook County, Illinois",5408,17,031,071500
"Census Tract 716, Cook County, Illinois",2160,17,031,071600
"Census Tract 717, Cook County, Illinois",1853,17,031,071700
"Census Tract 718, Cook County, Illinois",3134,17,031,071800
"Census Tract 719, Cook County, Illinois",3413,17,031,071900
"Census Tract 720, Cook County, Illinois",961,17,031,072000
"Census Tract 801, Cook County, Illinois",6181,17,031,080100
"Census Tract 802, Cook County, Illinois",6587,17,031,080200
"Census Tract 803, Cook County, Illinois",4639,17,031,080300
"Census Tract 804, Cook County, Illinois",4981,17,031,080400
"Census Tract 805, Cook County, Illinois",1571,17,031,080500
"Census Tract 806, Cook County, Illinois",22,17,031,080600
"Census Tract 807, Cook County, Illinois",1303,17,031,080700
"Census Tract 808, Cook County, Illinois",537,17,031,080800
"Census Tract 809, Cook County, Illinois",748,17,031,080900
