Community Area,NAME,female,state,county,population,period
WEST TOWN,"Census Tract 2407, Cook County, Illinois",41336.0,17,31,84319.0,2010-2014
WOODLAWN,"Census Tract 8439, Cook County, Illinois",14106.0,17,31,25451.0,2010-2014
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",24673.0,17,31,49806.0,2015-2019
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",6679.0,17,31,13726.0,2015-2019
ARMOUR SQUARE,"Census Tract 3406, Cook County, Illinois",6970.0,17,31,13538.0,2015-2019
ASHBURN,"Census Tract 7002, Cook County, Illinois",22852.0,17,31,43356.0,2015-2019
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",24859.0,17,31,45909.0,2015-2019
AUSTIN,"Census Tract 8313, Cook County, Illinois",50549.0,17,31,93727.0,2015-2019
AVALON PARK,"Census Tract 8343, Cook County, Illinois",5529.0,17,31,9713.0,2015-2019
AVONDALE,"Census Tract 8311, Cook County, Illinois",18978.0,17,31,38118.0,2015-2019
BELMONT CRAGIN,"Census Tract 1910, Cook County, Illinois",39493.0,17,31,78601.0,2015-2019
BEVERLY,"Census Tract 7201, Cook County, Illinois",10427.0,17,31,19791.0,2015-2019
BRIDGEPORT,"Census Tract 6007, Cook County, Illinois",17352.0,17,31,34540.0,2015-2019
BRIGHTON PARK,"Census Tract 5807, Cook County, Illinois",21460.0,17,31,44156.0,2015-2019
BURNSIDE,"Census Tract 4701, Cook County, Illinois",1012.0,17,31,2006.0,2015-2019
CALUMET HEIGHTS,"Census Tract 4805, Cook County, Illinois",7122.0,17,31,12815.0,2015-2019
CHATHAM,"Census Tract 4409, Cook County, Illinois",16965.0,17,31,30967.0,2015-2019
CHICAGO LAWN,"Census Tract 6610, Cook County, Illinois",27093.0,17,31,51352.0,2015-2019
CLEARING,"Census Tract 6404, Cook County, Illinois",12815.0,17,31,24976.0,2015-2019
DOUGLAS,"Census Tract 3510, Cook County, Illinois",11521.0,17,31,21353.0,2015-2019
DUNNING,"Census Tract 1709, Cook County, Illinois",22344.0,17,31,43445.0,2015-2019
EAST GARFIELD PARK,"Census Tract 2705, Cook County, Illinois",10377.0,17,31,18940.0,2015-2019
EAST SIDE,"Census Tract 5204, Cook County, Illinois",12038.0,17,31,23723.0,2015-2019
EDGEWATER,"Census Tract 301.02, Cook County, Illinois",26774.0,17,31,55407.0,2015-2019
EDISON PARK,"Census Tract 901, Cook County, Illinois",5712.0,17,31,11264.0,2015-2019
ENGLEWOOD,"Census Tract 6814, Cook County, Illinois",12150.0,17,31,22921.0,2015-2019
FOREST GLEN,"Census Tract 1201, Cook County, Illinois",10193.0,17,31,19384.0,2015-2019
FULLER PARK,"Census Tract 8355, Cook County, Illinois",1185.0,17,31,2330.0,2015-2019
GAGE PARK,"Census Tract 6302, Cook County, Illinois",18618.0,17,31,37478.0,2015-2019
GARFIELD RIDGE,"Census Tract 5609, Cook County, Illinois",18577.0,17,31,37207.0,2015-2019
GRAND BOULEVARD,"Census Tract 3801, Cook County, Illinois",13245.0,17,31,22643.0,2015-2019
GREATER GRAND CROSSING,"Census Tract 6911, Cook County, Illinois",16790.0,17,31,30149.0,2015-2019
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",4407.0,17,31,9089.0,2015-2019
HERMOSA,"Census Tract 2001, Cook County, Illinois",11227.0,17,31,23481.0,2015-2019
HUMBOLDT PARK,"Census Tract 2307, Cook County, Illinois",28748.0,17,31,55364.0,2015-2019
HYDE PARK,"Census Tract 4108, Cook County, Illinois",9531.0,17,31,18624.0,2015-2019
IRVING PARK,"Census Tract 1609, Cook County, Illinois",26874.0,17,31,53530.0,2015-2019
JEFFERSON PARK,"Census Tract 1101, Cook County, Illinois",14172.0,17,31,27503.0,2015-2019
KENWOOD,"Census Tract 3904, Cook County, Illinois",6902.0,17,31,12582.0,2015-2019
LAKE VIEW,"Census Tract 8319, Cook County, Illinois",43937.0,17,31,89861.0,2015-2019
LINCOLN PARK,"Census Tract 8325, Cook County, Illinois",34119.0,17,31,69465.0,2015-2019
LINCOLN SQUARE,"Census Tract 8308, Cook County, Illinois",21573.0,17,31,42103.0,2015-2019
LOGAN SQUARE,"Census Tract 8309, Cook County, Illinois",36040.0,17,31,73277.0,2015-2019
LOOP,"Census Tract 8390, Cook County, Illinois",20075.0,17,31,38655.0,2015-2019
LOWER WEST SIDE,"Census Tract 3104, Cook County, Illinois",16141.0,17,31,33203.0,2015-2019
MCKINLEY PARK,"Census Tract 5906, Cook County, Illinois",7642.0,17,31,15177.0,2015-2019
MONTCLARE,"Census Tract 8316, Cook County, Illinois",7538.0,17,31,14267.0,2015-2019
MORGAN PARK,"Census Tract 7502, Cook County, Illinois",11693.0,17,31,21050.0,2015-2019
MOUNT GREENWOOD,"Census Tract 7403, Cook County, Illinois",9839.0,17,31,19190.0,2015-2019
NEAR NORTH SIDE,"Census Tract 8383, Cook County, Illinois",43503.0,17,31,81940.0,2015-2019
NEAR SOUTH SIDE,"Census Tract 3302, Cook County, Illinois",14035.0,17,31,24729.0,2015-2019
NEAR WEST SIDE,"Census Tract 2831, Cook County, Illinois",32386.0,17,31,63170.0,2015-2019
NEW CITY,"Census Tract 6119, Cook County, Illinois",19312.0,17,31,39508.0,2015-2019
NORTH CENTER,"Census Tract 501, Cook County, Illinois",18220.0,17,31,35543.0,2015-2019
NORTH LAWNDALE,"Census Tract 8386, Cook County, Illinois",17609.0,17,31,32073.0,2015-2019
NORTH PARK,"Census Tract 8318, Cook County, Illinois",9846.0,17,31,18914.0,2015-2019
NORWOOD PARK,"Census Tract 1004, Cook County, Illinois",19636.0,17,31,37924.0,2015-2019
OAKLAND,"Census Tract 3602, Cook County, Illinois",1864.0,17,31,3440.0,2015-2019
OHARE,"Census Tract 7608.01, Cook County, Illinois",6030.0,17,31,12861.0,2015-2019
PORTAGE PARK,"Census Tract 8317, Cook County, Illinois",32781.0,17,31,64605.0,2015-2019
PULLMAN,"Census Tract 5001, Cook County, Illinois",3826.0,17,31,6840.0,2015-2019
RIVERDALE,"Census Tract 5401.01, Cook County, Illinois",4782.0,17,31,7359.0,2015-2019
ROGERS PARK,"Census Tract 8306, Cook County, Illinois",25166.0,17,31,50262.0,2015-2019
ROSELAND,"Census Tract 4903, Cook County, Illinois",20754.0,17,31,39162.0,2015-2019
SOUTH CHICAGO,"Census Tract 4601, Cook County, Illinois",16602.0,17,31,29936.0,2015-2019
SOUTH DEERING,"Census Tract 8388, Cook County, Illinois",8917.0,17,31,15475.0,2015-2019
SOUTH LAWNDALE,"Census Tract 8305, Cook County, Illinois",30758.0,17,31,72157.0,2015-2019
SOUTH SHORE,"Census Tract 4304, Cook County, Illinois",22911.0,17,31,40221.0,2015-2019
UPTOWN,"Census Tract 8307, Cook County, Illinois",28664.0,17,31,58979.0,2015-2019
WASHINGTON HEIGHTS,"Census Tract 7307, Cook County, Illinois",14913.0,17,31,26742.0,2015-2019
WASHINGTON PARK,"Census Tract 8345, Cook County, Illinois",6471.0,17,31,10969.0,2015-2019
WEST ELSDON,"Census Tract 6203, Cook County, Illinois",9824.0,17,31,19126.0,2015-2019
WEST ENGLEWOOD,"Census Tract 6702, Cook County, Illinois",14182.0,17,31,26346.0,2015-2019
WEST GARFIELD PARK,"Census Tract 2605, Cook County, Illinois",8521.0,17,31,16415.0,2015-2019
WEST LAWN,"Census Tract 6501, Cook County, Illinois",15388.0,17,31,31886.0,2015-2019
WEST PULLMAN,"Census Tract 5303, Cook County, Illinois",14578.0,17,31,27028.0,2015-2019
WEST RIDGE,"Census Tract 203.02, Cook County, Illinois",39640.0,17,31,78466.0,2015-2019
WEST TOWN,"Census Tract 2423, Cook County, Illinois",40295.0,17,31,83757.0,2015-2019
WOODLAWN,"Census Tract 4205, Cook County, Illinois",14031.0,17,31,24844.0,2015-2019
ALBANY PARK,Census Tract 1401; Cook County; Illinois,23390.0,17,31,47663.0,2018-2022
ARCHER HEIGHTS,Census Tract 5701; Cook County; Illinois,6416.0,17,31,13867.0,2018-2022
ARMOUR SQUARE,Census Tract 3403; Cook County; Illinois,7135.0,17,31,13193.0,2018-2022
ASHBURN,Census Tract 7001; Cook County; Illinois,21927.0,17,31,42745.0,2018-2022
AUBURN GRESHAM,Census Tract 7101; Cook County; Illinois,25758.0,17,31,46468.0,2018-2022
AUSTIN,Census Tract 2502; Cook County; Illinois,52234.0,17,31,100120.0,2018-2022
AVALON PARK,Census Tract 4503; Cook County; Illinois,5555.0,17,31,9647.0,2018-2022
AVONDALE,Census Tract 2101; Cook County; Illinois,18583.0,17,31,36374.0,2018-2022
BELMONT CRAGIN,Census Tract 1901; Cook County; Illinois,37256.0,17,31,73991.0,2018-2022
BEVERLY,Census Tract 7201; Cook County; Illinois,10327.0,17,31,19781.0,2018-2022
BRIDGEPORT,Census Tract 6004; Cook County; Illinois,16067.0,17,31,33221.0,2018-2022
BRIGHTON PARK,Census Tract 5801; Cook County; Illinois,20591.0,17,31,42243.0,2018-2022
BURNSIDE,Census Tract 4701; Cook County; Illinois,1335.0,17,31,2246.0,2018-2022
CALUMET HEIGHTS,Census Tract 4801; Cook County; Illinois,7298.0,17,31,12087.0,2018-2022
CHATHAM,Census Tract 4401.01; Cook County; Illinois,17623.0,17,31,31341.0,2018-2022
CHICAGO LAWN,Census Tract 6603.01; Cook County; Illinois,26890.0,17,31,52464.0,2018-2022
CLEARING,Census Tract 6401; Cook County; Illinois,11841.0,17,31,24728.0,2018-2022
DOUGLAS,Census Tract 3501; Cook County; Illinois,11470.0,17,31,21355.0,2018-2022
DUNNING,Census Tract 1701; Cook County; Illinois,21824.0,17,31,42574.0,2018-2022
EAST GARFIELD PARK,Census Tract 2705; Cook County; Illinois,11005.0,17,31,19901.0,2018-2022
EAST SIDE,Census Tract 5201; Cook County; Illinois,12109.0,17,31,23942.0,2018-2022
EDGEWATER,Census Tract 301.01; Cook County; Illinois,26321.0,17,31,53802.0,2018-2022
EDISON PARK,Census Tract 901; Cook County; Illinois,5938.0,17,31,11402.0,2018-2022
ENGLEWOOD,Census Tract 6805; Cook County; Illinois,11219.0,17,31,21378.0,2018-2022
FOREST GLEN,Census Tract 1201; Cook County; Illinois,10030.0,17,31,19855.0,2018-2022
FULLER PARK,Census Tract 8355; Cook County; Illinois,1125.0,17,31,2142.0,2018-2022
GAGE PARK,Census Tract 6303; Cook County; Illinois,17566.0,17,31,34788.0,2018-2022
GARFIELD RIDGE,Census Tract 5601; Cook County; Illinois,17795.0,17,31,36401.0,2018-2022
GRAND BOULEVARD,Census Tract 3801; Cook County; Illinois,14237.0,17,31,24813.0,2018-2022
GREATER GRAND CROSSING,Census Tract 6903; Cook County; Illinois,16071.0,17,31,28991.0,2018-2022
HEGEWISCH,Census Tract 5501; Cook County; Illinois,4327.0,17,31,9025.0,2018-2022
HERMOSA,Census Tract 2001; Cook County; Illinois,11288.0,17,31,23157.0,2018-2022
HUMBOLDT PARK,Census Tract 2301; Cook County; Illinois,29333.0,17,31,55416.0,2018-2022
HYDE PARK,Census Tract 4102; Cook County; Illinois,10102.0,17,31,19850.0,2018-2022
IRVING PARK,Census Tract 1601; Cook County; Illinois,26790.0,17,31,53584.0,2018-2022
JEFFERSON PARK,Census Tract 1101; Cook County; Illinois,13901.0,17,31,27032.0,2018-2022
KENWOOD,Census Tract 3901; Cook County; Illinois,6915.0,17,31,12575.0,2018-2022
LAKE VIEW,Census Tract 601; Cook County; Illinois,44142.0,17,31,90421.0,2018-2022
LINCOLN PARK,Census Tract 701.01; Cook County; Illinois,34962.0,17,31,69099.0,2018-2022
LINCOLN SQUARE,Census Tract 401; Cook County; Illinois,21960.0,17,31,42271.0,2018-2022
LOGAN SQUARE,Census Tract 2203; Cook County; Illinois,36591.0,17,31,72332.0,2018-2022
LOOP,Census Tract 3201.01; Cook County; Illinois,20865.0,17,31,41671.0,2018-2022
LOWER WEST SIDE,Census Tract 3102; Cook County; Illinois,17035.0,17,31,34237.0,2018-2022
MCKINLEY PARK,Census Tract 5905; Cook County; Illinois,7778.0,17,31,15479.0,2018-2022
MONTCLARE,Census Tract 1801; Cook County; Illinois,7051.0,17,31,13765.0,2018-2022
MORGAN PARK,Census Tract 7501; Cook County; Illinois,11069.0,17,31,20718.0,2018-2022
MOUNT GREENWOOD,Census Tract 7401; Cook County; Illinois,9565.0,17,31,19121.0,2018-2022
NEAR NORTH SIDE,Census Tract 801; Cook County; Illinois,45773.0,17,31,88784.0,2018-2022
NEAR SOUTH SIDE,Census Tract 3301.01; Cook County; Illinois,14455.0,17,31,28216.0,2018-2022
NEAR WEST SIDE,Census Tract 2801; Cook County; Illinois,33334.0,17,31,65581.0,2018-2022
NEW CITY,Census Tract 6103; Cook County; Illinois,20325.0,17,31,41048.0,2018-2022
NORTH CENTER,Census Tract 501; Cook County; Illinois,17871.0,17,31,35814.0,2018-2022
NORTH LAWNDALE,Census Tract 2909; Cook County; Illinois,16901.0,17,31,30409.0,2018-2022
NORTH PARK,Census Tract 1301; Cook County; Illinois,10741.0,17,31,19398.0,2018-2022
NORWOOD PARK,Census Tract 1001; Cook County; Illinois,20195.0,17,31,39326.0,2018-2022
OAKLAND,Census Tract 3602; Cook County; Illinois,1896.0,17,31,3194.0,2018-2022
OHARE,Census Tract 7608.01; Cook County; Illinois,6440.0,17,31,13771.0,2018-2022
PORTAGE PARK,Census Tract 1502; Cook County; Illinois,32401.0,17,31,64213.0,2018-2022
PULLMAN,Census Tract 5001; Cook County; Illinois,4191.0,17,31,6856.0,2018-2022
RIVERDALE,Census Tract 5401.01; Cook County; Illinois,4995.0,17,31,7817.0,2018-2022
ROGERS PARK,Census Tract 101; Cook County; Illinois,26482.0,17,31,51238.0,2018-2022
ROSELAND,Census Tract 4902; Cook County; Illinois,20184.0,17,31,37610.0,2018-2022
SOUTH CHICAGO,Census Tract 4601; Cook County; Illinois,16338.0,17,31,30315.0,2018-2022
SOUTH DEERING,Census Tract 5101; Cook County; Illinois,8625.0,17,31,15218.0,2018-2022
SOUTH LAWNDALE,Census Tract 3005; Cook County; Illinois,30180.0,17,31,69708.0,2018-2022
SOUTH SHORE,Census Tract 4301.01; Cook County; Illinois,23905.0,17,31,42017.0,2018-2022
UPTOWN,Census Tract 310; Cook County; Illinois,27692.0,17,31,57464.0,2018-2022
WASHINGTON HEIGHTS,Census Tract 7301; Cook County; Illinois,15084.0,17,31,26456.0,2018-2022
WASHINGTON PARK,Census Tract 4003; Cook County; Illinois,6798.0,17,31,12366.0,2018-2022
WEST ELSDON,Census Tract 6201; Cook County; Illinois,9201.0,17,31,18366.0,2018-2022
WEST ENGLEWOOD,Census Tract 6701; Cook County; Illinois,13337.0,17,31,25772.0,2018-2022
WEST GARFIELD PARK,Census Tract 2601; Cook County; Illinois,7975.0,17,31,16374.0,2018-2022
WEST LAWN,Census Tract 6501; Cook County; Illinois,16369.0,17,31,32594.0,2018-2022
WEST PULLMAN,Census Tract 5301; Cook County; Illinois,13697.0,17,31,25449.0,2018-2022
WEST RIDGE,Census Tract 201; Cook County; Illinois,38975.0,17,31,79265.0,2018-2022
WEST TOWN,Census Tract 2402; Cook County; Illinois,42157.0,17,31,85402.0,2018-2022
WOODLAWN,Census Tract 4201; Cook County; Illinois,14216.0,17,31,26495.0,2018-2022
